[14-Jun-2016 09:45:59 PRC] PHP Warning:  require(D:\wwwroot\shengqin\wwwroot\includes\lib_common.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in D:\wwwroot\shengqin\wwwroot\admin\includes\init.php on line 87
[14-Jun-2016 09:45:59 PRC] PHP Fatal error:  require() [<a href='function.require'>function.require</a>]: Failed opening required 'D:/wwwroot/shengqin/wwwroot/includes/lib_common.php' (include_path='.;ROOT_PATH') in D:\wwwroot\shengqin\wwwroot\admin\includes\init.php on line 87
[14-Jun-2016 09:46:09 PRC] PHP Warning:  require(D:\wwwroot\shengqin\wwwroot\includes\lib_common.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in D:\wwwroot\shengqin\wwwroot\admin\includes\init.php on line 87
[14-Jun-2016 09:46:09 PRC] PHP Fatal error:  require() [<a href='function.require'>function.require</a>]: Failed opening required 'D:/wwwroot/shengqin/wwwroot/includes/lib_common.php' (include_path='.;ROOT_PATH') in D:\wwwroot\shengqin\wwwroot\admin\includes\init.php on line 87
[14-Jun-2016 09:46:11 PRC] PHP Warning:  require(D:\wwwroot\shengqin\wwwroot\includes\lib_common.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in D:\wwwroot\shengqin\wwwroot\admin\includes\init.php on line 87
[14-Jun-2016 09:46:11 PRC] PHP Fatal error:  require() [<a href='function.require'>function.require</a>]: Failed opening required 'D:/wwwroot/shengqin/wwwroot/includes/lib_common.php' (include_path='.;ROOT_PATH') in D:\wwwroot\shengqin\wwwroot\admin\includes\init.php on line 87
[14-Jun-2016 09:46:11 PRC] PHP Warning:  require(D:\wwwroot\shengqin\wwwroot\includes\lib_common.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in D:\wwwroot\shengqin\wwwroot\admin\includes\init.php on line 87
[14-Jun-2016 09:46:11 PRC] PHP Fatal error:  require() [<a href='function.require'>function.require</a>]: Failed opening required 'D:/wwwroot/shengqin/wwwroot/includes/lib_common.php' (include_path='.;ROOT_PATH') in D:\wwwroot\shengqin\wwwroot\admin\includes\init.php on line 87
[14-Jun-2016 09:46:12 PRC] PHP Warning:  require(D:\wwwroot\shengqin\wwwroot\includes\lib_common.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in D:\wwwroot\shengqin\wwwroot\admin\includes\init.php on line 87
[14-Jun-2016 09:46:12 PRC] PHP Fatal error:  require() [<a href='function.require'>function.require</a>]: Failed opening required 'D:/wwwroot/shengqin/wwwroot/includes/lib_common.php' (include_path='.;ROOT_PATH') in D:\wwwroot\shengqin\wwwroot\admin\includes\init.php on line 87
[14-Jun-2016 09:54:13 PRC] PHP Warning:  require(D:\wwwroot\shengqin\wwwroot\includes\lib_common.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in D:\wwwroot\shengqin\wwwroot\admin\includes\init.php on line 87
[14-Jun-2016 09:54:13 PRC] PHP Fatal error:  require() [<a href='function.require'>function.require</a>]: Failed opening required 'D:/wwwroot/shengqin/wwwroot/includes/lib_common.php' (include_path='.;ROOT_PATH') in D:\wwwroot\shengqin\wwwroot\admin\includes\init.php on line 87
[17-Jun-2016 08:31:22 PRC] PHP Fatal error:  Allowed memory size of 67108864 bytes exhausted (tried to allocate 10001 bytes) in D:\wwwroot\shengqin\wwwroot\includes\cls_image.php on line 669
[17-Jun-2016 08:33:33 PRC] PHP Fatal error:  Allowed memory size of 67108864 bytes exhausted (tried to allocate 10000 bytes) in D:\wwwroot\shengqin\wwwroot\includes\cls_image.php on line 669
[20-Jul-2016 18:32:22 PRC] PHP Warning:  print_r() expects at least 1 parameter, 0 given in D:\wwwroot\zgshengqin\wwwroot\admin\goods.php on line 930
[07-Mar-2019 16:37:48 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 17:43:14 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 17:45:13 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 17:45:29 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 17:46:33 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:01:59 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:06:54 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
